name,logo,slug,description
Ubisoft,https://cdn.icon-icons.com/icons2/2389/PNG/512/ubisoft_logo_icon_144779.png,ubisoft,"Ubisoft Entertainment SA, commonly known as Ubisoft, is a prominent French video game publisher and developer with its headquarters in Montreuil, France. Founded in 1986 by Christian and Claude Guillemot, the company has grown into one of the largest and most influential players in the gaming industry. Ubisoft is renowned for its diverse portfolio of popular franchises, encompassing a wide range of genres and platforms. Notable titles include Assassin's Creed, Far Cry, Rainbow Six, and Just Dance. The company is recognized for its commitment to delivering immersive and innovative gaming experiences, often characterized by engaging narratives, rich graphics, and expansive open-world environments."
Capcom,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Capcom_logo_icon.svg/927px-Capcom_logo_icon.svg.png,capcom,"Capcom is a Japanese video game company. It has created a number of multi-million-selling game franchises, with its most commercially successful being Resident Evil, Monster Hunter, Street Fighter, Mega Man, Devil May Cry, Dead Rising, Ace Attorney, and Marvel vs. Capcom."
Sony,https://vgboxart.com/resources/logo/5525_sony-computer-entertainment-prev.png,sony-interactive-entertainment,"Sony Interactive Entertainment LLC (SIE) is a multinational video game and digital entertainment company of Sony. Established in 2016, it primarily operates the PlayStation brand of video game consoles and products."
Nintendo,https://seeklogo.com/images/N/nintendo-switch-logo-38D4F5C7E7-seeklogo.com.png,nintendo,"Nintendo is a Japanese multinational consumer electronics and video game company based in Kyoto. As a game developer, Nintendo played one of the crucial roles in establishing the game industry. It owns numerous video game franchises such as Mario, The Legend of Zelda, Metroid, Pokémon which are among the best-selling and most critically acclaimed games of all-time. The company’s flagship series, Super Mario, sold more than 310 million copies worldwide. The Nintendo games are known for mostly family-friendly style and targeting a wide audience from kids and casual players to hardcore game fans. Having numerous different franchises, Nintendo has been releasing games in many various genres from arcade racing (Mario Kart), social simulation (Animal Crossing) and party games (Mario Party) to open world action-adventures (The Legend of Zelda) and multiplayer shooters (Splatoon)"
Arkane,https://pbs.twimg.com/profile_images/1725192508748001280/Dbof12Pa_400x400.png,arkane-studios,"Arkane Studios is a French video game developer based in Lyon, France. It specializes in action role-playing games. Their debut project Arx Fatalis, despite being commercially unsuccessful, was well-received and introduced several game mechanics that would later appear in other studio’s games such as linear progression with open levels that offer various ways of completion. Their next game, Dark Messiah of Might and Magic, has been initially developed as a sequel to Arx Fatalis but after Ubisoft approached the company, it was decided to tie the game with Might and Magic universe. In Arkane’s new original game, Dishonored, came. The game gained a strong following was applauded by critics and had strong sales which allowed the studio to develop a sequel – Dishonored 2 as well as stand-alone expansion pack Dishonored: Death of the Outsider."
Epic,https://cdn2.unrealengine.com/Unreal+Engine%2Feg-logo-filled-1255x1272-0eb9d144a0f981d1cbaaa1eb957de7a3207b31bb.png,epic-games,"Epic Games is an American video game developer. The studio is primarily associated with overproductiveness as there are 38 titles developed by them alone, not including the ones where a team was only publishing and collaborating on projects. There is a total of three periods in the company's history — Potomac Computer Systems, Epic MegaGames, and Epic Games. The organization is 27 years old. The games are mainly made on Unreal Engine, which is also developed by the studio. The engine has 4 iterations and fundamentally used for real-life simulations and utilized in first-person shooters. Some of the famous series by Epic Games are Gears of War series for Xbox and PC, Fortnite which gained substantial commercial success and got ported to mobiles and Infinity Blade series on every possible gaming platform."
Valve,https://1000logos.net/wp-content/uploads/2020/08/Steam-Logo.png,valve-software,"Valve Corporation, also known as Valve Software, is an American video game developer, publisher, and digital distribution company headquartered in Bellevue, Washington. It is the developer of the software distribution platform Steam and the game franchises Half-Life, Counter-Strike, Portal, Day of Defeat, Team Fortress, Left 4 Dead, and Dota."
Bethesda,https://simsettlements.com/web/wiki/images/8/83/Bethesda.png,bethesda-softworks,"Bethesda Softworks, a distinguished name in the video game industry, operates as a developer and publisher known for its rich, immersive worlds and groundbreaking role-playing games (RPGs). Established in 1986 and headquartered in Rockville, Maryland, Bethesda has become synonymous with expansive, open-world experiences that push the boundaries of storytelling and gameplay. The company's flagship series, The Elder Scrolls, has set a high standard for open-world RPGs with its detailed lore, freedom of exploration, and complex character development, beginning with Arena and reaching global acclaim with titles like Skyrim."
Square Enix,https://www.seekpng.com/png/full/143-1431226_logo-square-enix-e3-2018-square-enix-collective.png,square-enix,"Square Enix is a video game developer based in Japan. The company has been renamed three times with it firstly being just Enix, then just square and the merged name came only afterward. The organization is 43 years old. This is also a sizeable economic corporation bearing 17 subsidiaries some of them are famous studios like Eidos Montréal. The team is principally famous for Final Fantasy series — one of the most extended ongoing games originating in 1987 and making it to the last game in 2018; Kingdom Hearts franchise which is crossover RPG with entangled lore stretching out through the multiple games with hundreds of in-game story arcs; and even some Mario-related games. Despite being the profound (over 100 titles overall) developer, Square Enix also publishes games — given all of the titles the company laid hands on, the list expands to a few hundred games."
BioWare,https://blog.bioware.com/wp-content/uploads/2019/02/cropped-BioWareB.png,bioware,"Acclaimed for its masterful storytelling, complex characters, and immersive worlds, BioWare has consistently pushed the envelope in creating experiences that deeply resonate with players. The studio gained significant acclaim with the release of Baldur's Gate, a game that revitalized the computer RPG genre with its deep narrative and strategic gameplay. BioWare's portfolio boasts several other iconic series, including Mass Effect, known for its rich science fiction universe and consequential player choices; Dragon Age, which offers a dark, intricate fantasy world steeped in lore and moral complexity; and Star Wars: Knights of the Old Republic, celebrated for its engaging story set in the Star Wars universe."
